ProfileID,ModelCondition,ModelID,Datatype,WESKit,Product,Stranded,Source,SharedToDbgap
PR-FrTsTb,MC-000501-66hN,ACH-000501,rna,,,False,BROAD,
PR-fRV9F5,MC-001196-NGMx,ACH-001196,wgs,,NOVA_SEQ_6000,,BROAD,
PR-frZBxr,MC-001100-Ekc7,ACH-001100,rna,,,True,BROAD,True
PR-fS57Uz,MC-001847-IniK,ACH-001847,wes,ICE,,,BROAD,
PR-fs9bME,MC-000273-nfhd,ACH-000273,rna,,,False,BROAD,
PR-FSCKC9,MC-000979-bkVz,ACH-000979,wgs,,,,BROAD,
PR-FSkNXD,MC-000047-zsdR,ACH-000047,wes,AGILENT,,,SANGER,
PR-FSmUok,MC-001641-0Q0R,ACH-001641,wgs,,,,BROAD,True
PR-fsqxV3,MC-000228-aDV5,ACH-000228,wgs,,NOVA_SEQ_6000,,BROAD,
PR-fSxWMu,MC-001667-9bKk,ACH-001667,rna,,NOVA_SEQ_6000,True,BROAD,
PR-fSYZbP,MC-000684-OsUg,ACH-000684,rna,,,False,BROAD,
PR-Ft3wbx,MC-002067-S9Nv,ACH-002067,rna,,,True,BROAD,True
PR-FTDcqs,MC-001498-leUb,ACH-001498,wes,AGILENT,,,SANGER,
PR-FTUHUL,MC-003061-5LP5,ACH-003061,rna,,NOVA_SEQ_6000,True,BROAD,
PR-ftXSpi,MC-002466-lZtp,ACH-002466,wes,ICE,,,BROAD,True
PR-Fu0w28,MC-002239-83YG,ACH-002239,wes,AGILENT,,,SANGER,
PR-Fu8yvK,MC-001295-8ebG,ACH-001295,wes,ICE,,,BROAD,True
PR-fuJcby,MC-001999-g7LW,ACH-001999,wes,ICE,,,BROAD,
PR-FuQbdF,MC-002164-pB0r,ACH-002164,wes,AGILENT,,,SANGER,
PR-fUygzs,MC-001137-IyNm,ACH-001137,wes,AGILENT,,,SANGER,
PR-FV0whW,MC-000401-7y9u,ACH-000401,wes,AGILENT,,,SANGER,
PR-FVUD09,MC-002352-1NJy,ACH-002352,wes,AGILENT,,,SANGER,
PR-FVzPiV,MC-000313-eJa9,ACH-000313,rna,,,False,BROAD,
PR-FWbgot,MC-000180-OMR4,ACH-000180,rna,,,False,BROAD,
PR-fWBkd2,MC-000294-9Msn,ACH-000294,wes,AGILENT,,,SANGER,
PR-fwEAWS,MC-000663-zOPU,ACH-000663,rna,,,False,BROAD,
PR-FWG9sX,MC-002309-R1fW,ACH-002309,wes,AGILENT,,,SANGER,
PR-fwoIsB,MC-000058-Nu4f,ACH-000058,rna,,,False,BROAD,
PR-fwYSYD,MC-001400-xyWT,ACH-001400,wes,ICE,,,BROAD,True
PR-FX6MWi,MC-002710-s7hG,ACH-002710,rna,,,True,BROAD,True
PR-fx9kEA,MC-001563-W7yA,ACH-001563,wes,ICE,,,BROAD,True
PR-FxAJ7u,MC-001694-EG4Q,ACH-001694,wes,ICE,,,BROAD,True
PR-fxiDpH,MC-000719-VWM6,ACH-000719,rna,,,False,BROAD,
PR-FXJbJl,MC-000773-FFsq,ACH-000773,wes,ICE,,,BROAD,
PR-fXLYEJ,MC-001433-0iYo,ACH-001433,wgs,,NOVA_SEQ_6000,,BROAD,
PR-fXpf9F,MC-000773-FFsq,ACH-000773,wgs,,,,BROAD,
PR-FXTRkB,MC-000421-TMOc,ACH-000421,wes,AGILENT,,,SANGER,
PR-Fxytjs,MC-000257-OIjN,ACH-000257,wgs,,,,BROAD,
